Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_II sim,Pugnido_II data,Pugnido_II error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
20,1485,2327,0.3618392780403954,1,36,0.9722222222222222,310,6923,0.9552217246858299,58,583,0.9005145797598628,402,0,0.0,401,0,0.0,1217,965,0.2611398963730569,0,0,0.0,423,328,0.28963414634146334,0,0,0.0,2,0,0.0,1,0,0.0,0,1416,1.0,0,182,1.0,19,223,0.9147982062780269,4,0,0.0,1,832,0.9987980769230769,11,26,0.5769230769230769,0,10,1.0,8,306,0.9738562091503268,0.8566786748604931,14157,14157,14157,4343,0
21,1589,2443,0.34957020057306587,1,36,0.9722222222222222,330,7269,0.9546017333883615,63,612,0.8970588235294118,442,0,0.0,422,0,0.0,1290,1013,0.2734452122408686,0,0,0.0,461,344,0.3401162790697674,0,0,0.0,2,0,0.0,1,0,0.0,0,1468,1.0,0,185,1.0,21,239,0.9121338912133892,8,0,0.0,2,835,0.9976047904191617,12,26,0.5384615384615384,0,11,1.0,10,323,0.9690402476780186,0.8570656579302891,14804,14804,14804,4654,0
22,1685,2560,0.341796875,1,36,0.9722222222222222,365,7615,0.9520682862770847,68,642,0.8940809968847352,479,0,0.0,447,0,0.0,1381,1061,0.30160226201696516,0,0,0.0,488,360,0.3555555555555556,0,0,0.0,2,0,0.0,1,0,0.0,0,1520,1.0,0,188,1.0,26,255,0.8980392156862745,9,0,0.0,3,838,0.9964200477326969,13,26,0.5,0,12,1.0,10,340,0.9705882352941176,0.8572445479842102,15453,15453,15453,4978,0
23,1791,2676,0.3307174887892377,1,36,0.9722222222222222,394,7961,0.9505087300590378,70,671,0.8956780923994039,527,0,0.0,476,0,0.0,1450,1109,0.3074842200180343,0,0,0.0,529,377,0.403183023872679,1,0,0.0,2,0,0.0,3,0,0.0,0,1572,1.0,1,192,0.9947916666666666,30,272,0.8897058823529411,11,0,0.0,4,842,0.995249406175772,14,26,0.46153846153846156,0,12,1.0,12,358,0.9664804469273743,0.857799304520616,16104,16104,16104,5316,0
24,1890,2792,0.3230659025787965,1,36,0.9722222222222222,422,8307,0.9491994703262309,79,700,0.8871428571428571,582,0,0.0,508,0,0.0,1538,1158,0.3281519861830742,0,0,0.0,558,393,0.41984732824427473,2,0,0.0,2,0,0.0,4,0,0.0,0,1624,1.0,1,196,0.9948979591836735,31,276,0.8876811594202898,13,0,0.0,4,843,0.9952550415183867,15,26,0.42307692307692313,0,12,1.0,12,357,0.9663865546218487,0.8594497607655502,16720,16720,16720,5662,0
25,2016,2909,0.306978343073221,2,36,0.9444444444444444,452,8653,0.9477637813475095,84,729,0.8847736625514403,628,0,0.0,548,0,0.0,1623,1206,0.3457711442786069,0,0,0.0,600,410,0.46341463414634143,2,0,0.0,3,0,0.0,6,0,0.0,0,1675,1.0,1,201,0.9950248756218906,38,281,0.8647686832740213,14,0,0.0,4,844,0.995260663507109,16,26,0.3846153846153846,0,12,1.0,13,357,0.9635854341736695,0.859622815617971,17339,17339,17339,6050,0
26,2134,3025,0.29454545454545455,2,36,0.9444444444444444,485,9000,0.9461111111111111,85,758,0.8878627968337731,696,0,0.0,588,0,0.0,1703,1254,0.35805422647527907,0,0,0.0,633,426,0.4859154929577465,3,0,0.0,4,0,0.0,7,0,0.0,1,1727,0.9994209612044007,1,206,0.9951456310679612,39,285,0.8631578947368421,17,0,0.0,5,845,0.9940828402366864,17,27,0.37037037037037035,0,12,1.0,15,356,0.9578651685393258,0.8611683466057805,17957,17957,17957,6435,0
27,2241,3142,0.2867600254614895,2,36,0.9444444444444444,525,9346,0.9438262358228119,89,787,0.8869123252858958,750,0,0.0,619,0,0.0,1784,1302,0.37019969278033793,0,0,0.0,672,442,0.5203619909502262,3,0,0.0,5,0,0.0,7,0,0.0,1,1779,0.9994378864530635,1,211,0.995260663507109,44,290,0.8482758620689655,18,0,0.0,6,846,0.9929078014184397,19,27,0.2962962962962963,0,13,1.0,17,356,0.952247191011236,0.8613877375248964,18577,18577,18577,6803,0
28,2339,3258,0.28207489257213014,2,36,0.9444444444444444,561,9692,0.9421172100701609,97,817,0.8812729498164015,805,0,0.0,652,0,0.0,1865,1351,0.38045891931902287,0,0,0.0,698,459,0.5206971677559913,3,0,0.0,6,0,0.0,8,0,0.0,2,1831,0.9989077007099946,2,216,0.9907407407407407,49,294,0.8333333333333334,18,0,0.0,8,847,0.9905548996458088,20,27,0.2592592592592593,0,13,1.0,18,356,0.949438202247191,0.8612804083971454,19197,19197,19197,7153,0
29,2441,3374,0.27652637818612924,3,36,0.9166666666666666,586,10038,0.9416218370193266,104,846,0.8770685579196218,856,0,0.0,680,0,0.0,1960,1399,0.4010007147962831,0,0,0.0,748,475,0.5747368421052632,3,0,0.0,6,0,0.0,9,0,0.0,2,1883,0.9989378651088688,2,221,0.9909502262443439,52,299,0.8260869565217391,21,0,0.0,10,848,0.9882075471698113,21,27,0.2222222222222222,0,13,1.0,19,355,0.9464788732394366,0.8634803674169779,19814,19814,19814,7523,0
