Day,Date,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_two sim,Pugnido_two data,Pugnido_two error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
20,2016-06-21,1524,2327.0,0.3450795015040825,0,36.0,1.0,329,6923.0,0.9524772497472194,68,583.0,0.8833619210977701,403,0.0,0.0,383,0.0,0.0,1200,965.0,0.2435233160621761,0,0.0,0.0,440,328.0,0.3414634146341464,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,1416.0,1.0,0,182.0,1.0,9,223.0,0.9596412556053812,10,0.0,0.0,2,832.0,0.997596153846154,9,26.0,0.6538461538461539,0,10.0,1.0,8,306.0,0.9738562091503268,0.8519460337642156,14157,14157,14157,4388,0
21,2016-06-22,1624,2443.0,0.335243553008596,0,36.0,1.0,355,7269.0,0.9511624707662676,75,612.0,0.8774509803921569,465,0.0,0.0,417,0.0,0.0,1282,1013.0,0.2655478775913129,1,0.0,0.0,472,344.0,0.3720930232558139,0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0,1468.0,1.0,0,185.0,1.0,11,239.0,0.9539748953974896,10,0.0,0.0,3,835.0,0.9964071856287424,10,26.0,0.6153846153846154,0,11.0,1.0,11,323.0,0.9659442724458204,0.8547014320453932,14804,14804,14804,4741,0
22,2016-06-23,1737,2560.0,0.321484375,0,36.0,1.0,374,7615.0,0.9508864084044648,81,642.0,0.8738317757009346,510,0.0,0.0,455,0.0,0.0,1350,1061.0,0.2723845428840716,1,0.0,0.0,497,360.0,0.3805555555555555,0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0,1520.0,1.0,0,188.0,1.0,13,255.0,0.9490196078431372,10,0.0,0.0,3,838.0,0.9964200477326968,10,26.0,0.6153846153846154,0,12.0,1.0,12,340.0,0.9647058823529412,0.8547854785478548,15453,15453,15453,5058,0
23,2016-06-24,1840,2676.0,0.312406576980568,0,36.0,1.0,408,7961.0,0.9487501570154504,86,671.0,0.8718330849478391,561,0.0,0.0,491,0.0,0.0,1442,1109.0,0.3002705139765553,2,0.0,0.0,523,377.0,0.3872679045092837,0,0.0,0.0,5,0.0,0.0,2,0.0,0.0,0,1572.0,1.0,0,192.0,1.0,17,272.0,0.9375,10,0.0,0.0,4,842.0,0.995249406175772,13,26.0,0.5,0,12.0,1.0,12,358.0,0.9664804469273744,0.8561847988077497,16104,16104,16104,5416,0
24,2016-06-25,1925,2792.0,0.3105300859598854,0,36.0,1.0,442,8307.0,0.94679186228482,96,700.0,0.8628571428571429,616,0.0,0.0,522,0.0,0.0,1525,1158.0,0.3169257340241795,2,0.0,0.0,557,393.0,0.4173027989821882,2,0.0,0.0,5,0.0,0.0,2,0.0,0.0,1,1624.0,0.999384236453202,0,196.0,1.0,22,276.0,0.9202898550724636,11,0.0,0.0,4,843.0,0.9952550415183868,14,26.0,0.4615384615384615,0,12.0,1.0,12,357.0,0.9663865546218487,0.8578947368421053,16720,16720,16720,5758,0
25,2016-06-26,2032,2909.0,0.3014781711928498,0,36.0,1.0,471,8653.0,0.945568011094418,102,729.0,0.8600823045267489,671,0.0,0.0,562,0.0,0.0,1610,1206.0,0.3349917081260365,2,0.0,0.0,595,410.0,0.4512195121951219,3,0.0,0.0,6,0.0,0.0,4,0.0,0.0,1,1675.0,0.9994029850746268,0,201.0,1.0,26,281.0,0.9074733096085408,12,0.0,0.0,4,844.0,0.995260663507109,16,26.0,0.3846153846153846,0,12.0,1.0,14,357.0,0.9607843137254902,0.8596804890708807,17339,17339,17339,6131,0
26,2016-06-27,2143,3025.0,0.2915702479338843,0,36.0,1.0,500,9000.0,0.9444444444444444,107,758.0,0.8588390501319261,720,0.0,0.0,595,0.0,0.0,1699,1254.0,0.3548644338118023,2,0.0,0.0,629,426.0,0.4765258215962442,3,0.0,0.0,7,0.0,0.0,4,0.0,0.0,1,1727.0,0.9994209612044008,1,206.0,0.9951456310679612,27,285.0,0.9052631578947368,14,0.0,0.0,4,845.0,0.9952662721893492,17,27.0,0.3703703703703703,0,12.0,1.0,14,356.0,0.9606741573033708,0.8607228378905162,17957,17957,17957,6487,0
27,2016-06-28,2267,3142.0,0.2784850413749205,0,36.0,1.0,527,9346.0,0.9436122405307084,113,787.0,0.8564167725540025,772,0.0,0.0,622,0.0,0.0,1801,1302.0,0.3832565284178186,2,0.0,0.0,661,442.0,0.4954751131221719,7,0.0,0.0,9,0.0,0.0,4,0.0,0.0,1,1779.0,0.9994378864530636,1,211.0,0.995260663507109,29,290.0,0.9,16,0.0,0.0,8,846.0,0.9905437352245864,17,27.0,0.3703703703703703,0,13.0,1.0,15,356.0,0.9578651685393258,0.8615492275394305,18577,18577,18577,6872,0
28,2016-06-29,2377,3258.0,0.2704112952731737,2,36.0,0.9444444444444444,573,9692.0,0.9408790755262072,116,817.0,0.8580171358629131,817,0.0,0.0,651,0.0,0.0,1890,1351.0,0.3989637305699482,2,0.0,0.0,699,459.0,0.522875816993464,7,0.0,0.0,12,0.0,0.0,4,0.0,0.0,1,1831.0,0.9994538503549972,2,216.0,0.9907407407407408,32,294.0,0.891156462585034,18,0.0,0.0,10,847.0,0.9881936245572608,19,27.0,0.2962962962962963,0,13.0,1.0,17,356.0,0.952247191011236,0.8609678595613898,19197,19197,19197,7249,0
29,2016-06-30,2486,3374.0,0.2631890930646117,2,36.0,0.9444444444444444,602,10038.0,0.9400278940027894,121,846.0,0.8569739952718676,867,0.0,0.0,688,0.0,0.0,1988,1399.0,0.4210150107219441,2,0.0,0.0,745,475.0,0.5684210526315789,7,0.0,0.0,13,0.0,0.0,6,0.0,0.0,1,1883.0,0.9994689325544344,2,221.0,0.990950226244344,38,299.0,0.8729096989966555,19,0.0,0.0,11,848.0,0.9870283018867924,23,27.0,0.1481481481481481,0,13.0,1.0,19,355.0,0.9464788732394366,0.8628242656707379,19814,19814,19814,7640,0
30,2016-07-01,2587,3491.0,0.2589515898023489,3,36.0,0.9166666666666666,634,10118.0,0.937339395137379,126,846.0,0.851063829787234,922,12.0,75.83333333333333,722,0.0,0.0,2071,1447.0,0.4312370421561853,2,0.0,0.0,784,492.0,0.5934959349593496,9,0.0,0.0,14,0.0,0.0,6,0.0,0.0,1,1935.0,0.999483204134367,2,226.0,0.991150442477876,43,304.0,0.8585526315789473,21,0.0,0.0,14,849.0,0.983510011778563,26,27.0,0.037037037037037,0,13.0,1.0,22,355.0,0.9380281690140844,0.8606024514912411,20151,20151,20151,8009,0
31,2016-07-02,2695,3544.0,0.2395598194130925,3,36.0,0.9166666666666666,670,10198.0,0.9343008433026084,132,846.0,0.8439716312056738,990,25.0,38.6,757,0.0,0.0,2150,1495.0,0.4381270903010033,2,0.0,0.0,816,591.0,0.3807106598984771,12,0.0,0.0,14,0.0,0.0,6,0.0,0.0,2,1987.0,0.9989934574735784,2,226.0,0.991150442477876,48,318.0,0.8490566037735849,23,0.0,0.0,14,850.0,0.983529411764706,29,27.0,0.0740740740740741,0,13.0,1.0,23,362.0,0.93646408839779,0.8505702310166683,20518,20518,20518,8388,0
32,2016-07-03,2787,3597.0,0.2251876563803169,3,36.0,0.9166666666666666,720,10278.0,0.9299474605954464,136,846.0,0.8392434988179669,1065,37.0,27.783783783783782,801,0.0,0.0,2235,1544.0,0.447538860103627,2,0.0,0.0,870,691.0,0.2590448625180896,15,0.0,0.0,15,0.0,0.0,6,0.0,0.0,2,2039.0,0.9990191270230504,2,226.0,0.991150442477876,55,332.0,0.8343373493975903,23,0.0,0.0,14,851.0,0.9835487661574618,32,27.0,0.1851851851851851,0,13.0,1.0,23,370.0,0.9378378378378378,0.8431560300665486,20887,20887,20887,8806,0
33,2016-07-04,2897,3651.0,0.2065187619830183,3,36.0,0.9166666666666666,770,10358.0,0.9256613245800348,146,846.0,0.8274231678486997,1138,50.0,21.76,839,0.0,0.0,2314,1592.0,0.4535175879396984,3,0.0,0.0,897,791.0,0.1340075853350189,15,0.0,0.0,18,0.0,0.0,8,0.0,0.0,2,2091.0,0.9990435198469632,2,226.0,0.991150442477876,59,346.0,0.8294797687861272,24,0.0,0.0,15,852.0,0.9823943661971832,37,27.0,0.3703703703703704,0,13.0,1.0,26,378.0,0.9312169312169312,0.833137319471233,21257,21257,21257,9213,0
34,2016-07-05,2999,3704.0,0.1903347732181425,3,36.0,0.9166666666666666,803,10438.0,0.9230695535543209,155,846.0,0.8167848699763594,1194,62.0,18.258064516129032,865,0.0,0.0,2385,1640.0,0.4542682926829269,3,0.0,0.0,933,891.0,0.0471380471380471,16,0.0,0.0,20,0.0,0.0,8,0.0,0.0,2,2143.0,0.999066728884741,2,226.0,0.991150442477876,63,361.0,0.8254847645429363,26,0.0,0.0,16,853.0,0.981242672919109,39,27.0,0.4444444444444444,0,13.0,1.0,28,385.0,0.9272727272727272,0.8232601156069365,21625,21625,21625,9560,0
35,2016-07-06,3091,3758.0,0.1774880255455029,3,36.0,0.9166666666666666,838,10518.0,0.9203270583761172,163,846.0,0.8073286052009456,1250,75.0,15.666666666666668,894,0.0,0.0,2460,1688.0,0.4573459715639809,3,0.0,0.0,970,991.0,0.0211907164480322,16,0.0,0.0,24,0.0,0.0,10,0.0,0.0,2,2194.0,0.9990884229717412,2,226.0,0.991150442477876,70,375.0,0.8133333333333334,29,0.0,0.0,17,854.0,0.9800936768149884,42,27.0,0.5555555555555556,0,13.0,1.0,32,393.0,0.9185750636132316,0.816313540056379,21994,21994,21994,9916,0
36,2016-07-07,3171,3811.0,0.1679349252164785,3,36.0,0.9166666666666666,877,10598.0,0.917248537459898,163,846.0,0.8073286052009456,1324,87.0,14.218390804597702,928,0.0,0.0,2545,1737.0,0.4651698330454807,3,0.0,0.0,1006,1090.0,0.0770642201834862,17,0.0,0.0,25,0.0,0.0,12,0.0,0.0,2,2246.0,0.9991095280498664,2,226.0,0.991150442477876,75,389.0,0.8071979434447301,33,0.0,0.0,17,855.0,0.9801169590643276,44,28.0,0.5714285714285714,0,13.0,1.0,34,400.0,0.915,0.8156247205080046,22362,22362,22362,10281,0
37,2016-07-08,3265,3865.0,0.1552393272962483,3,36.0,0.9166666666666666,912,10678.0,0.9145907473309608,170,846.0,0.7990543735224587,1386,100.0,12.86,968,0.0,0.0,2630,1785.0,0.473389355742297,3,0.0,0.0,1034,1190.0,0.1310924369747899,20,0.0,0.0,29,0.0,0.0,12,0.0,0.0,3,2298.0,0.9986945169712794,2,226.0,0.991150442477876,87,404.0,0.7846534653465347,35,0.0,0.0,19,856.0,0.977803738317757,46,28.0,0.6428571428571428,0,13.0,1.0,35,408.0,0.9142156862745098,0.8140588571679936,22733,22733,22733,10659,0
38,2016-07-09,3350,3918.0,0.1449719244512506,4,36.0,0.8888888888888888,955,10758.0,0.9112288529466444,176,846.0,0.7919621749408984,1451,112.0,11.955357142857142,999,0.0,0.0,2695,1833.0,0.470267321331151,3,0.0,0.0,1070,1290.0,0.1705426356589147,20,0.0,0.0,32,0.0,0.0,13,0.0,0.0,3,2350.0,0.9987234042553192,3,294.0,0.9897959183673468,93,431.0,0.7842227378190255,37,0.0,0.0,22,858.0,0.9743589743589745,52,28.0,0.8571428571428572,0,13.0,1.0,37,437.0,0.9153318077803204,0.8122306498879504,23204,23204,23204,11015,0
39,2016-07-10,3459,3971.0,0.128934777134223,5,36.0,0.8611111111111112,992,10838.0,0.9084701974534046,187,846.0,0.7789598108747045,1518,125.0,11.144,1031,0.0,0.0,2769,1881.0,0.4720893141945774,3,0.0,0.0,1110,1390.0,0.2014388489208632,20,0.0,0.0,36,0.0,0.0,14,0.0,0.0,3,2402.0,0.998751040799334,3,362.0,0.9917127071823204,100,459.0,0.7821350762527233,40,0.0,0.0,23,859.0,0.9732246798603028,55,28.0,0.9642857142857142,1,13.0,0.9230769230769232,37,467.0,0.9207708779443254,0.8098576677788571,23677,23677,23677,11406,0
40,2016-07-11,3542,4025.0,0.12,6,36.0,0.8333333333333334,1026,10918.0,0.9060267448250596,193,846.0,0.7718676122931443,1578,137.0,10.518248175182482,1065,0.0,0.0,2851,1930.0,0.4772020725388601,3,0.0,0.0,1147,1490.0,0.2302013422818791,21,0.0,0.0,37,0.0,0.0,19,0.0,0.0,3,2454.0,0.9987775061124694,4,430.0,0.9906976744186048,109,487.0,0.7761806981519508,47,0.0,0.0,23,860.0,0.9732558139534884,59,28.0,1.1071428571428572,1,13.0,0.9230769230769232,41,496.0,0.9173387096774194,0.8093167701863354,24150,24150,24150,11775,0
41,2016-07-12,3630,4078.0,0.1098577734183423,6,36.0,0.8333333333333334,1057,10998.0,0.903891616657574,201,846.0,0.7624113475177305,1659,150.0,10.06,1089,0.0,0.0,2916,1978.0,0.4742163801820021,3,0.0,0.0,1184,1589.0,0.2548772813089993,22,0.0,0.0,40,0.0,0.0,21,0.0,0.0,3,2506.0,0.9988028731045492,4,498.0,0.9919678714859438,120,515.0,0.7669902912621359,49,0.0,0.0,25,861.0,0.9709639953542392,61,28.0,1.1785714285714284,1,13.0,0.9230769230769232,45,526.0,0.9144486692015208,0.8079766062870604,24622,24622,24622,12136,0
42,2016-07-13,3740,4132.0,0.0948693126815101,6,36.0,0.8333333333333334,1098,11078.0,0.9008846362159234,205,846.0,0.7576832151300237,1734,162.0,9.703703703703704,1119,0.0,0.0,2979,2026.0,0.4703849950641658,4,0.0,0.0,1216,1689.0,0.2800473653049141,24,0.0,0.0,41,0.0,0.0,21,0.0,0.0,3,2558.0,0.9988272087568412,4,567.0,0.9929453262786596,126,543.0,0.7679558011049724,50,0.0,0.0,27,862.0,0.968677494199536,66,28.0,1.3571428571428572,1,13.0,0.9230769230769232,46,555.0,0.9171171171171172,0.8060968320382547,25095,25095,25095,12510,0
43,2016-07-14,3832,4185.0,0.0843488649940262,8,36.0,0.7777777777777778,1130,11158.0,0.8987273704965048,211,846.0,0.7505910165484634,1808,175.0,9.331428571428573,1154,0.0,0.0,3050,2074.0,0.4705882352941177,5,0.0,0.0,1249,1789.0,0.3018446059250979,25,0.0,0.0,41,0.0,0.0,23,0.0,0.0,4,2610.0,0.9984674329501916,4,635.0,0.9937007874015747,133,571.0,0.7670753064798599,56,0.0,0.0,28,863.0,0.9675550405561992,66,28.0,1.3571428571428572,1,13.0,0.9230769230769232,49,584.0,0.9160958904109588,0.8054132279892048,25567,25567,25567,12877,0
