Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
73,10,1,9.0,36,1,35.0,5,414,0.9879,18,147,0.8776,13,10,0.3,5,7,0.2857,29,1,28.0,3,1,2.0,3,1,2.0,1.0617495711835334,583,560,583,122,0
74,10,1,9.0,36,1,35.0,5,415,0.988,18,147,0.8776,13,10,0.3,5,7,0.2857,29,1,28.0,4,1,3.0,3,1,2.0,1.0633561643835616,584,561,584,123,0
75,10,1,9.0,36,1,35.0,5,416,0.988,18,148,0.8784,14,10,0.4,5,7,0.2857,29,1,28.0,4,1,3.0,3,1,2.0,1.0648464163822526,586,562,586,124,0
76,12,1,11.0,36,1,35.0,5,417,0.988,18,148,0.8784,14,10,0.4,5,7,0.2857,29,1,28.0,4,1,3.0,3,1,2.0,1.0681431005110733,587,567,587,126,0
77,12,1,11.0,36,1,35.0,5,419,0.9881,18,148,0.8784,14,10,0.4,5,7,0.2857,29,1,28.0,4,1,3.0,3,1,2.0,1.067911714770798,589,570,589,126,0
78,12,1,11.0,36,1,35.0,5,420,0.9881,18,149,0.8792,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,3,1,2.0,1.0693739424703892,591,571,591,127,0
79,12,1,11.0,36,1,35.0,5,421,0.9881,18,149,0.8792,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.070945945945946,592,575,592,128,0
80,12,1,11.0,36,1,35.0,5,422,0.9882,19,150,0.8733,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.069023569023569,594,579,594,129,0
81,12,1,11.0,36,1,35.0,5,423,0.9882,19,150,0.8733,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.06890756302521,595,579,595,129,0
82,13,1,12.0,36,1,35.0,5,425,0.9882,20,150,0.8667,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.068676716917923,597,579,597,131,0
83,13,1,12.0,36,1,35.0,5,426,0.9883,20,151,0.8675,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.0684474123539232,599,582,599,131,0
84,13,1,12.0,36,1,35.0,5,427,0.9883,20,151,0.8675,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.0683333333333334,600,585,600,131,0
85,13,1,12.0,36,1,35.0,5,428,0.9883,20,152,0.8684,15,10,0.5,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.0681063122923589,602,584,602,131,0
86,13,1,12.0,37,1,36.0,5,429,0.9883,20,152,0.8684,16,10,0.6,5,7,0.2857,29,1,28.0,4,1,3.0,4,1,3.0,1.0713101160862355,603,585,603,133,0
87,14,1,13.0,37,1,36.0,5,431,0.9884,20,152,0.8684,16,10,0.6,6,7,0.1429,29,1,28.0,4,1,3.0,4,1,3.0,1.0710743801652893,605,589,605,135,0
88,14,1,13.0,36,1,35.0,5,432,0.9884,20,153,0.8693,16,10,0.6,6,7,0.1429,29,1,28.0,4,1,3.0,4,1,3.0,1.0691927512355848,607,586,607,134,0
89,15,1,14.0,36,1,35.0,5,433,0.9885,20,153,0.8693,16,10,0.6,6,7,0.1429,29,1,28.0,4,1,3.0,4,1,3.0,1.0707236842105263,608,589,608,135,0
90,17,1,16.0,36,1,35.0,5,434,0.9885,20,154,0.8701,17,10,0.7,6,7,0.1429,31,1,30.0,4,1,3.0,4,1,3.0,1.0786885245901638,610,593,610,140,0
91,17,1,16.0,36,1,35.0,5,435,0.9885,20,154,0.8701,17,10,0.7,6,7,0.1429,31,1,30.0,4,1,3.0,5,1,4.0,1.0801963993453356,611,597,611,141,0
92,18,1,17.0,36,1,35.0,5,436,0.9885,20,154,0.8701,17,10,0.7,6,6,0.0,31,1,30.0,4,1,3.0,5,1,4.0,1.0818330605564648,611,598,611,142,0
93,18,1,17.0,37,1,36.0,5,436,0.9885,20,154,0.8701,17,10,0.7,6,6,0.0,30,1,29.0,4,1,3.0,5,1,4.0,1.0818330605564648,611,595,611,142,0
94,18,1,17.0,38,1,37.0,5,436,0.9885,21,154,0.8636,17,10,0.7,6,6,0.0,30,1,29.0,4,1,3.0,6,1,5.0,1.0834697217675942,611,598,611,145,0
95,18,1,17.0,38,1,37.0,5,437,0.9886,21,154,0.8636,17,10,0.7,7,6,0.1667,30,1,29.0,5,1,4.0,7,1,6.0,1.088235294117647,612,606,612,148,0
96,18,1,17.0,39,1,38.0,5,437,0.9886,21,155,0.8645,18,10,0.8,7,6,0.1667,30,1,29.0,5,1,4.0,7,1,6.0,1.0913539967373573,613,605,613,150,0
97,18,1,17.0,39,1,38.0,5,438,0.9886,21,155,0.8645,18,10,0.8,7,6,0.1667,30,1,29.0,5,1,4.0,7,1,6.0,1.0912052117263844,614,605,614,150,0
98,18,1,17.0,39,1,38.0,5,438,0.9886,21,155,0.8645,18,10,0.8,7,6,0.1667,30,1,29.0,5,1,4.0,7,1,6.0,1.0912052117263844,614,598,614,150,0
99,18,1,17.0,39,1,38.0,5,439,0.9886,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0926829268292684,615,601,615,151,0
100,19,1,18.0,39,1,38.0,5,439,0.9886,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0943089430894308,615,603,615,152,0
101,19,1,18.0,39,1,38.0,4,439,0.9909,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0959349593495935,615,611,615,151,0
102,19,1,18.0,39,1,38.0,4,440,0.9909,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0957792207792207,616,609,616,151,0
103,19,1,18.0,39,1,38.0,4,440,0.9909,21,155,0.8645,18,10,0.8,8,6,0.3333,30,1,29.0,5,1,4.0,7,1,6.0,1.0957792207792207,616,608,616,151,0
