Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
44,2,1,1.0,55,1,54.0,16,360,0.9556,14,135,0.8963,6,10,0.4,0,7,1.0,19,1,18.0,4,1,3.0,1,1,0.0,1.067698259187621,517,505,517,117,0
45,2,1,1.0,55,1,54.0,16,362,0.9558,14,136,0.8971,6,10,0.4,0,7,1.0,19,1,18.0,4,1,3.0,1,1,0.0,1.0673076923076923,520,508,520,117,0
46,2,1,1.0,55,1,54.0,16,364,0.956,14,136,0.8971,7,10,0.3,0,7,1.0,19,1,18.0,4,1,3.0,1,1,0.0,1.0651340996168583,522,508,522,118,0
47,2,1,1.0,55,1,54.0,16,366,0.9563,14,137,0.8978,7,10,0.3,0,7,1.0,20,1,19.0,4,1,3.0,1,1,0.0,1.0666666666666667,525,514,525,119,0
48,2,1,1.0,55,1,54.0,16,368,0.9565,14,137,0.8978,7,10,0.3,0,7,1.0,20,1,19.0,4,1,3.0,1,1,0.0,1.0664136622390892,527,515,527,119,0
49,2,1,1.0,55,1,54.0,16,370,0.9568,14,137,0.8978,7,10,0.3,0,7,1.0,20,1,19.0,5,1,4.0,1,1,0.0,1.0680529300567108,529,518,529,120,0
50,2,1,1.0,55,1,54.0,16,372,0.957,14,138,0.8986,7,10,0.3,0,7,1.0,20,1,19.0,5,1,4.0,1,1,0.0,1.0676691729323309,532,518,532,120,0
51,2,1,1.0,55,1,54.0,16,374,0.9572,14,138,0.8986,7,10,0.3,0,7,1.0,20,1,19.0,5,1,4.0,1,1,0.0,1.0674157303370786,534,504,534,120,0
52,2,1,1.0,55,1,54.0,16,376,0.9574,15,139,0.8921,7,10,0.3,0,7,1.0,20,1,19.0,5,1,4.0,1,1,0.0,1.0651769087523277,537,512,537,121,0
53,2,1,1.0,55,1,54.0,16,378,0.9577,15,139,0.8921,7,10,0.3,0,7,1.0,20,1,19.0,5,1,4.0,1,1,0.0,1.0649350649350648,539,508,539,121,0
54,2,1,1.0,55,1,54.0,16,380,0.9579,15,139,0.8921,7,10,0.3,0,7,1.0,20,1,19.0,5,1,4.0,2,1,1.0,1.066543438077634,541,513,541,122,0
55,5,1,4.0,56,1,55.0,16,382,0.9581,16,140,0.8857,7,10,0.3,0,7,1.0,21,1,20.0,5,1,4.0,2,1,1.0,1.0735294117647058,544,522,544,128,0
56,5,1,4.0,56,1,55.0,16,384,0.9583,16,140,0.8857,8,10,0.2,0,7,1.0,21,1,20.0,5,1,4.0,2,1,1.0,1.0714285714285714,546,504,546,129,0
57,5,1,4.0,57,1,56.0,16,386,0.9585,16,140,0.8857,8,10,0.2,0,7,1.0,21,1,20.0,5,1,4.0,2,1,1.0,1.072992700729927,548,510,548,130,0
58,5,1,4.0,57,1,56.0,16,388,0.9588,16,141,0.8865,8,10,0.2,0,7,1.0,21,1,20.0,5,1,4.0,2,1,1.0,1.072595281306715,551,511,551,130,0
59,5,1,4.0,58,1,57.0,16,390,0.959,16,141,0.8865,10,10,0.0,0,7,1.0,21,1,20.0,5,1,4.0,2,1,1.0,1.0705244122965643,553,511,553,133,0
60,5,1,4.0,58,1,57.0,16,392,0.9592,16,142,0.8873,10,10,0.0,0,7,1.0,21,1,20.0,6,1,5.0,3,1,2.0,1.0737410071942446,556,529,556,135,0
61,5,1,4.0,58,1,57.0,16,394,0.9594,16,142,0.8873,10,10,0.0,0,7,1.0,21,1,20.0,6,1,5.0,3,1,2.0,1.0734767025089607,558,533,558,135,0
62,6,1,5.0,58,1,57.0,16,395,0.9595,16,142,0.8873,11,10,0.1,0,7,1.0,21,1,20.0,6,1,5.0,3,1,2.0,1.0769230769230769,559,536,559,137,0
63,6,1,5.0,59,1,58.0,16,397,0.9597,16,143,0.8881,12,10,0.2,0,7,1.0,21,1,20.0,6,1,5.0,3,1,2.0,1.0800711743772242,562,538,562,139,0
64,7,1,6.0,59,1,58.0,16,399,0.9599,16,143,0.8881,12,10,0.2,0,7,1.0,21,1,20.0,6,1,5.0,3,1,2.0,1.0815602836879432,564,536,564,140,0
65,7,1,6.0,59,1,58.0,16,401,0.9601,16,144,0.8889,12,10,0.2,0,7,1.0,21,1,20.0,7,1,6.0,3,1,2.0,1.0828924162257496,567,533,567,141,0
66,7,1,6.0,60,1,59.0,16,403,0.9603,16,144,0.8889,12,10,0.2,0,7,1.0,21,1,20.0,7,1,6.0,3,1,2.0,1.0843585237258349,569,536,569,142,0
67,7,1,6.0,60,1,59.0,16,405,0.9605,16,144,0.8889,12,10,0.2,0,7,1.0,22,1,21.0,7,1,6.0,3,1,2.0,1.085814360770578,571,540,571,143,0
68,7,1,6.0,61,1,60.0,16,407,0.9607,16,145,0.8897,12,10,0.2,0,7,1.0,22,1,21.0,7,1,6.0,3,1,2.0,1.0871080139372822,574,554,574,144,0
69,7,1,6.0,61,1,60.0,16,409,0.9609,16,145,0.8897,12,10,0.2,0,7,1.0,22,1,21.0,7,1,6.0,3,1,2.0,1.0868055555555556,576,536,576,144,0
70,7,1,6.0,62,1,61.0,16,410,0.961,16,146,0.8904,12,10,0.2,0,7,1.0,22,1,21.0,7,1,6.0,3,1,2.0,1.088235294117647,578,541,578,145,0
71,8,1,7.0,62,1,61.0,16,412,0.9612,15,146,0.8973,12,10,0.2,7,7,0.0,22,1,21.0,7,1,6.0,3,1,2.0,1.0793103448275863,580,552,580,152,0
